"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.09.2008","1.211,84","1.643,04","1.675,06","1.058,84","","-26,38%"
"01.08.2008","1.646,14","1.965,53","1.966,16","1.547,10","","-16,30%"
"01.07.2008","1.966,68","2.303,11","2.306,79","1.881,06","","-14,62%"
"01.06.2008","2.303,34","2.459,90","2.464,59","2.280,33","","-6,36%"
"01.05.2008","2.459,88","2.122,50","2.498,10","2.122,50","","15,90%"
"01.04.2008","2.122,50","2.053,97","2.190,49","2.035,85","","3,34%"
"01.03.2008","2.053,93","2.017,47","2.096,55","1.942,44","","-0,48%"
"01.02.2008","2.063,94","1.910,67","2.116,31","1.859,53","","8,23%"
"01.01.2008","1.906,97","2.300,79","2.345,45","1.883,28","","-16,74%"
"01.12.2007","2.290,51","2.218,44","2.360,15","2.199,82","","3,17%"
"01.11.2007","2.220,11","2.225,25","2.301,74","2.128,17","","-0,13%"
"01.10.2007","2.223,06","2.071,80","2.232,58","2.039,64","","7,30%"
"01.09.2007","2.071,80","1.920,33","2.075,25","1.894,81","","7,91%"
"01.08.2007","1.919,89","1.983,87","2.002,64","1.798,43","","-3,71%"
"01.07.2007","1.993,96","1.898,13","2.092,71","1.894,22","","5,07%"
"01.06.2007","1.897,70","1.780,39","1.916,76","1.771,15","","6,59%"
"01.05.2007","1.780,33","1.932,05","1.937,33","1.707,81","","-8,02%"
"01.04.2007","1.935,51","1.935,01","2.008,71","1.913,73","","-0,01%"
"01.03.2007","1.935,72","1.857,82","1.953,56","1.701,80","","4,18%"
"01.02.2007","1.858,14","1.843,89","1.971,35","1.827,05","","0,83%"
"01.01.2007","1.842,93","1.906,32","1.906,32","1.749,22","","-4,11%"
"01.12.2006","1.921,92","1.776,68","1.927,74","1.764,32","","8,17%"
"01.11.2006","1.776,68","1.613,97","1.782,50","1.613,97","","10,11%"
"01.10.2006","1.613,57","1.550,10","1.648,44","1.503,73","","4,10%"
"01.09.2006","1.549,99","1.627,57","1.655,27","1.451,96","","-4,72%"
"01.08.2006","1.626,69","1.551,09","1.671,14","1.544,52","","4,87%"
"01.07.2006","1.551,09","1.494,74","1.570,99","1.435,44","","3,78%"
"01.06.2006","1.494,63","1.460,70","1.560,19","1.219,11","","2,29%"
"01.05.2006","1.461,22","1.657,49","1.795,00","1.311,32","","-11,83%"
"01.04.2006","1.657,28","1.434,73","1.690,31","1.434,65","","15,49%"
"01.03.2006","1.434,99","1.453,70","1.497,52","1.341,59","","-1,27%"
"01.02.2006","1.453,44","1.316,01","1.531,27","1.307,88","","10,45%"
"01.01.2006","1.315,96","1.128,20","1.376,43","1.128,20","","16,91%"
"01.12.2005","1.125,60","1.038,40","1.139,04","1.038,40","","8,52%"
"01.11.2005","1.037,26","935,05","1.048,81","934,37","","10,94%"
"01.10.2005","934,99","1.007,76","1.052,73","873,49","","-7,22%"
"01.09.2005","1.007,76","882,20","1.008,56","862,75","","14,25%"
"01.08.2005","882,03","778,90","890,31","775,58","","13,24%"
"01.07.2005","778,93","706,47","783,98","706,22","","10,27%"
